NACA_1210_opt
  1.000026  0.001025
  0.999964  0.001034
  0.999777  0.001060
  0.999467  0.001103
  0.999032  0.001164
  0.998473  0.001242
  0.997791  0.001337
  0.996984  0.001449
  0.996054  0.001578
  0.995001  0.001724
  0.993825  0.001887
  0.992526  0.002067
  0.991105  0.002264
  0.989562  0.002476
  0.987897  0.002706
  0.986110  0.002951
  0.984203  0.003212
  0.982176  0.003489
  0.980028  0.003782
  0.977762  0.004090
  0.975376  0.004414
  0.972872  0.004752
  0.970251  0.005105
  0.967512  0.005473
  0.964658  0.005855
  0.961688  0.006251
  0.958603  0.006660
  0.955404  0.007084
  0.952091  0.007520
  0.948666  0.007970
  0.945130  0.008432
  0.941483  0.008907
  0.937725  0.009393
  0.933859  0.009892
  0.929885  0.010402
  0.925804  0.010923
  0.921617  0.011455
  0.917325  0.011997
  0.912929  0.012550
  0.908430  0.013112
  0.903830  0.013684
  0.899128  0.014265
  0.894328  0.014855
  0.889429  0.015454
  0.884433  0.016061
  0.879342  0.016675
  0.874156  0.017297
  0.868876  0.017927
  0.863505  0.018563
  0.858043  0.019205
  0.852492  0.019853
  0.846852  0.020508
  0.841127  0.021167
  0.835316  0.021832
  0.829422  0.022501
  0.823445  0.023175
  0.817388  0.023852
  0.811251  0.024533
  0.805037  0.025217
  0.798747  0.025905
  0.792382  0.026594
  0.785944  0.027286
  0.779435  0.027979
  0.772855  0.028674
  0.766208  0.029370
  0.759494  0.030067
  0.752716  0.030764
  0.745874  0.031460
  0.738971  0.032157
  0.732008  0.032852
  0.724987  0.033546
  0.717909  0.034239
  0.710777  0.034930
  0.703593  0.035618
  0.696357  0.036304
  0.689073  0.036987
  0.681741  0.037666
  0.674363  0.038342
  0.666942  0.039013
  0.659479  0.039680
  0.651976  0.040341
  0.644434  0.040998
  0.636857  0.041648
  0.629245  0.042293
  0.621601  0.042930
  0.613926  0.043561
  0.606223  0.044185
  0.598493  0.044801
  0.590738  0.045409
  0.582960  0.046008
  0.575161  0.046598
  0.567344  0.047179
  0.559509  0.047751
  0.551659  0.048312
  0.543796  0.048863
  0.535922  0.049403
  0.528039  0.049932
  0.520149  0.050449
  0.512253  0.050953
  0.504354  0.051446
  0.496454  0.051926
  0.488554  0.052392
  0.480658  0.052845
  0.472765  0.053283
  0.464880  0.053708
  0.457003  0.054117
  0.449136  0.054512
  0.441282  0.054891
  0.433443  0.055254
  0.425620  0.055600
  0.417815  0.055931
  0.410031  0.056244
  0.402269  0.056540
  0.394531  0.056819
  0.386820  0.057079
  0.379136  0.057322
  0.371483  0.057546
  0.363861  0.057751
  0.356274  0.057937
  0.348722  0.058104
  0.341208  0.058251
  0.333734  0.058378
  0.326301  0.058485
  0.318911  0.058572
  0.311566  0.058638
  0.304269  0.058683
  0.297020  0.058708
  0.289822  0.058711
  0.282676  0.058694
  0.275585  0.058654
  0.268549  0.058593
  0.261572  0.058511
  0.254654  0.058407
  0.247797  0.058281
  0.241003  0.058133
  0.234274  0.057963
  0.227611  0.057771
  0.221017  0.057557
  0.214492  0.057321
  0.208038  0.057063
  0.201658  0.056783
  0.195251  0.056476
  0.188887  0.056129
  0.182605  0.055742
  0.176405  0.055317
  0.170291  0.054853
  0.164263  0.054353
  0.158324  0.053816
  0.152474  0.053243
  0.146715  0.052636
  0.141049  0.051996
  0.135478  0.051323
  0.130003  0.050618
  0.124624  0.049883
  0.119345  0.049118
  0.114166  0.048325
  0.109088  0.047504
  0.104113  0.046657
  0.099242  0.045784
  0.094476  0.044886
  0.089817  0.043966
  0.085265  0.043023
  0.080822  0.042059
  0.076489  0.041074
  0.072267  0.040071
  0.068157  0.039049
  0.064160  0.038010
  0.060277  0.036956
  0.056509  0.035886
  0.052857  0.034803
  0.049321  0.033706
  0.045903  0.032598
  0.042603  0.031478
  0.039421  0.030349
  0.036360  0.029210
  0.033418  0.028063
  0.030598  0.026909
  0.027899  0.025749
